slug	show	episode_title	date	episode_page_url	audio_url	notes
silicon-valley-insider-cloud-mobility	The Silicon Valley Insider Show	Cloud Mobility with Legendary Developer Greg Osuri, Founder and CEO of Overclock Labs	2018-03-02	https://omny.fm/shows/the-silicon-valley-insider-show/sv-insider-3-2-18-podcast	https://traffic.omny.fm/d/clips/5e27a451-e6e6-4c51-aa03-a7370003783c/d7f66aa2-ee3d-4bd3-96cc-a82901755f8d/da4ff56d-b6ef-4b5d-a97c-a895017509da/audio.mp3?download=true	AngelHack/Overclock-era radio interview with host Keith Koo; audio verified HTTP 200
cryptochange-news-s1e2-greg-osuri	CryptoChange.News	S1E2 - Greg Osuri	2018-06-15	https://archive.org/details/CryptoEp2GregOsuri	https://archive.org/download/CryptoEp2GregOsuri/Crypto%20Ep2Se1%20Greg%20Osuri.mp3	Early biographical episode (rural India, AngelHack, Overclock); companion post medium.com/@CryptoChange/s1e2-greg-osuri-dcac5896fdc4; preserved on Internet Archive; audio verified
village-global-venture-stories-crypto-stories	Village Global's Venture Stories	Crypto Stories: A Primer on Distributed Computing with Dani Grant, Dan Desjardins, Chandler Song, and Greg Osuri	2018-08-31	https://podcasts.apple.com/us/podcast/crypto-stories-a-primer-on-distributed-computing/id1316769266?i=1000499161936	https://anchor.fm/s/111d34b24/podcast/play/118943042/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-3-23%2F422725068-44100-2-fb833440f4d888c5.mp3	Greg is one of three guests (with Ankr and Distributed Compute Labs founders); 40:50; audio verified
hashing-it-out-70-akash-network	Hashing It Out (The Bitcoin Podcast Network)	Hashing It Out #70 - Akash Network - Greg Osuri	2020-01-12	https://podcasts.apple.com/us/podcast/hashing-it-out-70-akash-network-greg-osuri/id1000457699?i=1000462229743	https://anchor.fm/s/f97fc444/podcast/play/89981579/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-7-2%2F384212470-44100-1-b15a0fe32d23275c.mp3	Hosts Corey Petty and Colin Cusce; a YouTube upload exists (lfnzAHJRVUo) but is NOT in our catalog; re-hosted feeds show later pubDates, original air Jan 2020; audio verified
ok-lets-chat-greg-osuri	OK Let's Chat! (OKCoin)	Greg Osuri, Akash Network founder and CEO	2020-03-12	https://www.listennotes.com/podcasts/ok-lets-chat-okcoin-n0G8IyMofEN/		Show ended Oct 2020 and its feed is dead; episode existence verified via Listen Notes index but no working audio enclosure found
at-stake-greg-osuri-akash-network	At Stake	Greg Osuri - AKASH Network	2020-12-16	https://podcasts.apple.com/us/podcast/greg-osuri-akash-network/id1543138052?i=1000502539042	https://anchor.fm/s/3f144b48/podcast/play/24022866/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2020-12-16%2F8870ae6b777c78524594a4530df500bb.m4a	37:11 interview; audio (m4a) verified
base-layer-209-greg-osuri	Base Layer	Base Layer Episode 209: Greg Osuri, Founder of Akash Network on Decentralizing Compute	2021-05-12	https://podcasts.apple.com/us/podcast/base-layer-episode-209-greg-osuri-founder-of-akash/id1445373535?i=1000521492647	https://traffic.megaphone.fm/BWG8921745601.mp3	Host David Nage (Arca); ~33 min; audio verified
interchain-fm-akash-accelerating-cloud-markets	Interchain.FM	Akash: Accelerating efficient cloud compute markets with unused compute capacity from everyday machines	2021-05-31	https://podcasts.apple.com/us/podcast/akash-accelerating-efficient-cloud-compute-markets/id1487731469?i=1000523691108	https://cdn.simplecast.com/audio/f54d22f2-6ff4-48ac-bd38-1dd97dda1438/episodes/58c7983c-991a-460e-abce-4db1aa4edd0b/audio/26257a5e-7435-473c-9e1b-0da581219575/default_tc.mp3?aid=rss_feed&feed=pXwyWZPn	FLAGGED NOT COUNTED: very likely the audio edit of catalog video 4xlOVeUXd90 (Interchain.fm Ep. 15; audio 56:25 vs video 68 min; the show's later Skynet episode calls Ep 15 "our first interview with Greg"); audio verified
the-index-unstoppable-cloud-greg-osuri	The Index Podcast	Unstoppable Cloud and Building a Decentralized Web with Greg Osuri	2021-08-11	https://www.podpage.com/the-index-podcast/blog/unstoppable-cloud-and-building-a/	https://www.buzzsprout.com/2092514/episodes/11794005-unstoppable-cloud-and-building-a-decentralized-web-with-greg-osuri.mp3	Host Alex Kehaya; 37:51; distinct from the show's 2025 "Everything Bagel" episode already in catalog (VTJaABZMi9c); audio verified
priv8-podcast-web3-decentralized-future	Priv8 Podcast (Orchid)	Web3 and the Decentralized Future with Greg Osuri and Tor Bair	2022-02-23	https://www.orchid.com/podcast/	https://traffic.libsyn.com/secure/followthewhiterabbit/Priv8_Podcast_-_Special_Episode_with_Greg_Osuri_Tor_Bair.mp3?dest-id=2110493	FLAGGED NOT COUNTED: 41:15; republished 2022-09-07 as "Privacy, Data Sovereignty, and the Web3 Ecosystem with Greg Osuri and Tor Bair" (traffic.libsyn.com/secure/followthewhiterabbit/Priv8_Summit_1.mp3); likely an audio cut of the Priv8 Summit session already in catalog (hf6MlnDl6Rs, 44:46); audio verified
buidl-crypto-20-akash	Buidl Crypto Podcast	#20. Akash, unstoppable open source cloud.	2022-03-08	https://www.listennotes.com/podcasts/buidl-crypto-podcast-various-hosts-7q5LfH1CViu/		36-min Greg Osuri interview verified to have existed (Apple i=1000553255687, Spotify 5DatTPYmxEc7K3ndbQi0mF, TuneIn), but the show unpublished all episodes - buzzsprout feed now has 0 items and Apple/Spotify episode pages 404; no working audio found
weapons-of-mass-adoption-3-akash	Weapons of Mass Adoption	#3 - Akash Network with Greg Osuri	2023-09-06	https://podcasts.apple.com/us/podcast/3-akash-network-with-greg-osuri/id1705930764?i=1000626951051	https://anchor.fm/s/e87f3e2c/podcast/play/75542240/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-8-6%2F345928915-44100-2-8c8afd5a499f8.mp3	Audio verified
proof-of-coverage-greg-osuri-2023	Proof of Coverage	Greg Osuri, Founder and CEO of Akash Network	2023-09-25	https://podcasts.apple.com/us/podcast/greg-osuri-founder-and-ceo-of-akash-network/id1645459705?i=1000629088449	https://anchor.fm/s/bc53426c/podcast/play/76353989/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-8-25%2Faee1a9fe-a075-284d-b28a-f568d0208d74.mp3	32:33; distinct from the show's Nov 2024 episode, which matches catalog row Rp_LL6tPDFU (54:10 = 3251s, retitled "Trump's impact..." on YouTube); audio verified
interchain-fm-akash-skynet	Interchain.FM	How Akash Skynet will unleash an AI future no one is prepared for	2023-12-11	https://podcasts.apple.com/us/podcast/how-akash-skynet-will-unleash-an-ai-future-no-one-is/id1487731469?i=1000638190791	https://cdn.simplecast.com/audio/f54d22f2-6ff4-48ac-bd38-1dd97dda1438/episodes/5c32fdce-f527-4a2e-b43e-9d4bff432104/audio/1487d161-8013-423e-ac45-a4317f43220a/default_tc.mp3?aid=rss_feed&feed=pXwyWZPn	1:50:02 interview on AI Supercloud/Mainnet 6; a YouTube version exists on Chjango Unchained channel (aPALlllmE8A) but is NOT in our catalog; audio verified
the-edge-podcast-akash-supercloud	The Edge Podcast	Akash: The Crypto-Powered Decentralized Supercloud	2024-01-16	https://podcasts.apple.com/us/podcast/akash-the-crypto-powered-decentralized-supercloud/id1671489227?i=1000641868294	https://anchor.fm/s/da947840/podcast/play/81355052/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-0-16%2F363683602-44100-2-20428a9737dbb.mp3	Hosts DeFi Dad and Nodar Janashia; 1:09:31; audio verified
finality-builders-diary-9-greg-osuri	Finality Crypto Podcast (DeFi Times)	How to Pivot your Career in Crypto and AI | Builder's Diary #9 with Greg Osuri	2024-02-14	https://podcasts.apple.com/us/podcast/how-to-pivot-your-career-in-crypto-and-ai-builders/id1541829695?i=1000645292095	https://traffic.libsyn.com/secure/defitimes/Upload_Greg_Builders_Diary.mp3?dest-id=2486693	Audio verified
beacon-podcast-liberty-community-decentralized-ai	Beacon Podcast	Greg Osuri | Founder of Akash Network: Liberty, Community, and the Future of Decentralized AI	2024-06-18	https://podcasts.apple.com/us/podcast/greg-osuri-founder-of-akash-network-liberty/id1626302528?i=1000659451844	https://anchor.fm/s/9016b544/podcast/play/88188568/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-5-18%2Fbad3e329-f0b1-19a0-fd45-a3231455774d.mp3	1:19:20; hosts Kenzi Wang/Sachi/Diksha; the SAME interview is re-syndicated under Unhashed Podcast (2025-05), BlockLayer (2025-09), BlockWave (2025-12), Web3Unlocked (2026-02), BeaconLayer (2026-03) and Web3 Unchained (rss.com) - counted once here; audio verified
