pod-silicon-valley-insider-cloud-mobility	2018-03-02	40	The Silicon Valley Insider Show	https://omny.fm/shows/the-silicon-valley-insider-show/sv-insider-3-2-18-podcast	Cloud Mobility with Legendary Developer Greg Osuri, Founder and CEO of Overclock Labs
pod-cryptochange-news-s1e2-greg-osuri	2018-06-15	57	CryptoChange.News	https://archive.org/details/CryptoEp2GregOsuri	S1E2 - Greg Osuri
pod-village-global-venture-stories-crypto-stories	2018-08-31	41	Village Global's Venture Stories	https://podcasts.apple.com/us/podcast/crypto-stories-a-primer-on-distributed-computing/id1316769266?i=1000499161936	Crypto Stories: A Primer on Distributed Computing with Dani Grant, Dan Desjardins, Chandler Song, and Greg Osuri
pod-hashing-it-out-70-akash-network	2020-01-12	64	Hashing It Out (The Bitcoin Podcast Network)	https://podcasts.apple.com/us/podcast/hashing-it-out-70-akash-network-greg-osuri/id1000457699?i=1000462229743	Hashing It Out #70 - Akash Network - Greg Osuri
pod-at-stake-greg-osuri-akash-network	2020-12-16	37	At Stake	https://podcasts.apple.com/us/podcast/greg-osuri-akash-network/id1543138052?i=1000502539042	Greg Osuri - AKASH Network
pod-base-layer-209-greg-osuri	2021-05-12	33	Base Layer	https://podcasts.apple.com/us/podcast/base-layer-episode-209-greg-osuri-founder-of-akash/id1445373535?i=1000521492647	Base Layer Episode 209: Greg Osuri, Founder of Akash Network on Decentralizing Compute
pod-the-index-unstoppable-cloud-greg-osuri	2021-08-11	38	The Index Podcast	https://www.podpage.com/the-index-podcast/blog/unstoppable-cloud-and-building-a/	Unstoppable Cloud and Building a Decentralized Web with Greg Osuri
pod-weapons-of-mass-adoption-3-akash	2023-09-06	60	Weapons of Mass Adoption	https://podcasts.apple.com/us/podcast/3-akash-network-with-greg-osuri/id1705930764?i=1000626951051	#3 - Akash Network with Greg Osuri
pod-proof-of-coverage-greg-osuri-2023	2023-09-25	33	Proof of Coverage	https://podcasts.apple.com/us/podcast/greg-osuri-founder-and-ceo-of-akash-network/id1645459705?i=1000629088449	Greg Osuri, Founder and CEO of Akash Network
pod-interchain-fm-akash-skynet	2023-12-11	110	Interchain.FM	https://podcasts.apple.com/us/podcast/how-akash-skynet-will-unleash-an-ai-future-no-one-is/id1487731469?i=1000638190791	How Akash Skynet will unleash an AI future no one is prepared for
pod-the-edge-podcast-akash-supercloud	2024-01-16	70	The Edge Podcast	https://podcasts.apple.com/us/podcast/akash-the-crypto-powered-decentralized-supercloud/id1671489227?i=1000641868294	Akash: The Crypto-Powered Decentralized Supercloud
pod-finality-builders-diary-9-greg-osuri	2024-02-14	68	Finality Crypto Podcast (DeFi Times)	https://podcasts.apple.com/us/podcast/how-to-pivot-your-career-in-crypto-and-ai-builders/id1541829695?i=1000645292095	How to Pivot your Career in Crypto and AI | Builder's Diary #9 with Greg Osuri
pod-beacon-podcast-liberty-community-decentralized-ai	2024-06-18	79	Beacon Podcast	https://podcasts.apple.com/us/podcast/greg-osuri-founder-of-akash-network-liberty/id1626302528?i=1000659451844	Greg Osuri | Founder of Akash Network: Liberty, Community, and the Future of Decentralized AI
pod-crypto-conversation-akash-decentralized-compute	2024-09-10	41	The Crypto Conversation (Brave New Coin)	https://podcasts.apple.com/us/podcast/akash-network-the-decentralized-compute-marketplace/id1471243424?i=1000669078512	Akash Network - The Decentralized Compute Marketplace
pod-block-fuel-gpu-demand-greg-osuri	2024-10-02	33	Block Fuel	https://podcasts.apple.com/us/podcast/will-demand-for-advanced-ai-chips-gpus-be-1-1-for-every/id1705468368?i=1000671509211	Will demand for advanced AI chips (GPUs) be 1:1 for every person? We sit down with Greg Osuri to find out.
pod-outpost-ai-sovereignty-greg-osuri	2025-01-02	56	The Outpost Podcast	https://podcasts.apple.com/us/podcast/ai-sovereignty-building-the-path-to-individual-ai/id1779395525?i=1000682416476	AI Sovereignty: Building the Path to Individual AI with Greg Osuri
pod-maxalpha-akash-greg-osuri	2025-01-19	30	MaxAlpha 幣圈基本面	https://podcasts.apple.com/us/podcast/id1782808550?i=1000683706426	算力帝國的崛起：Akash 如何改變遊戲規則 ft. Greg Osuri | Max Alpha 訪談系列
pod-crypto-101-ep-654-akash	2025-05-13	66	CRYPTO 101	https://podcasts.apple.com/us/podcast/ep-654-the-intersection-of-ai-and/id1262351840?i=1000708305733	Ep. 654 The Intersection of AI and Cryptocurrency with Akash Network
pod-peoples-ai-solving-ai-energy-crisis	2025-07-31	46	The People's AI: The Decentralized AI Podcast	https://podcasts.apple.com/us/podcast/solving-ais-energy-crisis-with-decentralized-compute-w/id1792518750?i=1000720143134	Solving AI's Energy Crisis with Decentralized Compute, w/ Akash CEO Greg Osuri
pod-remote-work-tribe-greg-osuri	2026-01-15	29	The Remote Work Tribe Podcast	https://www.theremoteworktribe.com/2026/01/15/the-remote-work-tribe-podcast-greg-osuri/	The Remote Work Tribe Podcast: Greg Osuri
pod-peoples-ai-data-centers-eating-the-grid	2026-07-29	49	The People's AI: The Decentralized AI Podcast	https://www.buzzsprout.com/2440361/episodes/19568316-ai-data-centers-are-eating-the-grid-is-there-another-way	AI Data Centers Are Eating the Grid. Is There Another Way?
