0fBYZPHOQds	4101.0	Smart Economy Network	From AWS to Akash: Greg Osuri on Building a Decentralized Compute Marketplace
CWA3IAr9sc4	3085.0	TEACHMEDEFI	The Truth About Decentralized AI and the Future of Compute
59w3DyJWAQc	3805.0	Fraction AI	The Infrastructure Behind Agentic Finance, with Shashank Yadav and Greg Osuri of Akash Network
QuVl2mVHRyo	4503.0	DePIN Connection	Akash Network - Decentralized Cloud Built for AI's Next Frontier
i2AE257OCMA	3071.0	Orchid Labs	Future of Web 3 and the Battle for Data Sovereignty with Greg Osuri, CEO of Akash Networks
_ejhD_lNs4s	4839.0	The Data Scientist Show	How do data scientist get into blockchain? Greg Osuri - The Data Scientist Show #007
FBHsD1bgtvc	1214.0	Blockworks	Superintelligence Needs The Supercloud Why the AI Revolution... | PMLS 2025 | Day 3 | Open Source AI
61OOQfY5cqU	6960.0	Changelog	Solving the AI energy crisis | Greg Osuri on what it takes to power AI
1V5Mk3yKYy0	3636.0	AllinCrypto	This Crypto Turns GPUs Into Income For Everyone!!!!
f3tZLp2CNgI	2961.0	Citizen Web3	The cloud, open source and flash loans with Greg Osuri
7pEWlQnQ_8Q	2328.0	Ninepoint Partners	DeFi Decoded - Greg Osuri, CEO of Akash on why DeFi needs a Decentralized Internet to succeed
pSCkBP7Pw6Y	2642.0	Parks and Decentralization 	The GPU crisis that AI needs solved now.  W/ Greg Osuri, CEO Overclock Labs Akash Network
NOmzt7mv3RM	863.0	Joseph Raczynski	Tech Snippets Today - Greg Osuri - Founder at Akash with Joseph Raczynski
2EOR5-QQmbI	43.0	Web3 Working Group	Greg Osuri, founder of Akash, answers the question "What Kind of Internet Do You Want?" #shorts
0BIIiQquYFI	1305.0	Akash Network	Akash Accelerate 2025  -  Greg Osuri Keynote
sqM4s_5UyMI	525.0	Cito Zone: Cosmos Research, DeFi Guides & Airdrops	Superfluid Staking vs Liquid Staking? Zaki Manian, Greg Osuri, Jack Zampolin, & Cryptocito
YAOp0b8Bb6k	1383.0	Kryptoplanet[Official]	[Solo Talk] Decentralization is saving AI where centralization failed by Greg Osuri
Don1slbJlMQ	1864.0	CoinBundle	CEO of Overclock Labs On the World of Blockchain & Upcoming Technology In Development
VTJaABZMi9c	2953.0	The Index Podcast	Everything Bagel: Open Source AI, Security, and Decentralization with Greg Osuri, Founder at Akash
-1tcbW9WZOQ	3696.0	Akash Network	The Unstoppable Livestream w/ Sunny Aggarwal & Greg Osuri
ai0Sh3ICH3w	46.0	Web3 Working Group	Greg Osuri: Web2 underutilizes compute resources & protocols like #Akash correct these. #shorts
Esawduwv7AA	2699.0	We are DePIN	AWS at a Fraction of the Price – Greg Osuri | Akash Network
pIX9lYr57fE	1176.0	Genzio	What is Akash Network? Greg Osuri on Decentralized Cloud Computing | Greg Osuri - Founder of Akash
8O3HfvHSfqk	3052.0	Software Engineering Daily	A Decentralized Compute Marketplace with Greg Osuri
AWKVdqzUBAg	2456.0	Nebular	Greg Osuri of Akash on Unlocking DePIN Capabilities for AI Model Training
04-IN8Btp3U	1659.0	Akash Network	Keynote from Greg Osuri: "Journey to Acceleration & Beyond" - Akash Accelerate '24
